,samespeaker,sameepisode,sametype,glovesim,distance,durationdiff,sim_0,sim_1,sim_2
samespeaker,1.0,0.21169862155246377,0.00814700810060483,0.018300928124860987,-0.008996516122210552,0.00824170006571091,0.01178570343806523,0.013517277214818083,-0.0005217805091352357
sameepisode,0.21169862155246377,1.0,0.019588282901009668,0.018067725159752412,-0.010857266987479507,0.0010303127488803263,0.0191528264287829,0.02656946966599832,0.02103338913019981
sametype,0.00814700810060483,0.019588282901009668,1.0,0.21772168533484956,-0.4841798607774929,-0.032630634171640034,0.015996769523674854,0.022987511719492523,0.029115992983596215
glovesim,0.018300928124860987,0.018067725159752412,0.21772168533484956,1.0,-0.09658600983071176,-0.16195244724595548,0.04413774539122462,0.10845346236705573,0.16448551712042317
distance,-0.008996516122210552,-0.010857266987479507,-0.4841798607774929,-0.09658600983071176,1.0,0.0018418443533078825,-0.01930307211240233,-0.010268874317566647,-0.0013864150785762614
durationdiff,0.00824170006571091,0.0010303127488803263,-0.032630634171640034,-0.16195244724595548,0.0018418443533078825,1.0,-0.2643154062123366,-0.4473805736616484,-0.6289676106146184
sim_0,0.01178570343806523,0.0191528264287829,0.015996769523674854,0.04413774539122462,-0.01930307211240233,-0.2643154062123366,1.0,0.2743934928555506,0.2695638851831752
sim_1,0.013517277214818083,0.02656946966599832,0.022987511719492523,0.10845346236705573,-0.010268874317566647,-0.4473805736616484,0.2743934928555506,1.0,0.7801959661947346
sim_2,-0.0005217805091352357,0.02103338913019981,0.029115992983596215,0.16448551712042317,-0.0013864150785762614,-0.6289676106146184,0.2695638851831752,0.7801959661947346,1.0
